  Lab3.cpp
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(41,5): error C4235: использовано нестандартное расширение: ключевое слово "__asm" данной архитектурой не поддерживается
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,11): error C2065: sub: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,15): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "B"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,17): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "from"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,17): error C2065: from: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,22): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "A"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,24): error C2065: convert: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,32): error C2146: синтаксическая ошибка: отсутствие ")" перед идентификатором "from"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,32): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "from"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,32): error C2065: from: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,37): error C2143: синтаксическая ошибка: отсутствие ";" перед "константа"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,39): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "to"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,39): error C2065: to: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,42): error C2143: синтаксическая ошибка: отсутствие ";" перед "константа"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,45): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "bit"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,45): error C2065: bit: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,49): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "to"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,49): error C2065: to: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,52): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "avaid"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,52): error C2065: avaid: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,58): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "overflow"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,66): error C2059: синтаксическая ошибка: )
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(42,58): error C2065: overflow: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(43,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "lea"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(43,9): error C2065: lea: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(43,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "eax"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(43,13): error C2065: eax: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(44,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "lea"
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(44,9): error C2065: lea: необъявленный идентификатор
D:\253505\2 SEM\АВС\lab3\Lab3\Lab3.cpp(44,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "ebx"
